name,category
Ribeye Steak 300g,Steaks
Filet Mignon 250g,Steaks
T-Bone Steak 400g,Steaks
Sirloin Steak 350g,Steaks
Porterhouse Steak 500g,Steaks
Wagyu Steak 200g,Steaks
Budapest Sunset,Signature Cocktails
Danube Dream,Signature Cocktails
Hungarian Fire,Signature Cocktails
Tokaji Twist,Signature Cocktails
Paprika Passion,Signature Cocktails
Lava Burst Cake,Desserts
Classic Cheesecake,Desserts
Tiramisu,Desserts
Chocolate Mousse,Desserts
Crème Brûlée,Desserts
Apple Strudel,Desserts
Panna Cotta,Desserts
Egri Bikavér 2020,Wines
Tokaji Aszú 5 Puttonyos,Wines
Villányi Cabernet Franc,Wines
Badacsonyi Olaszrizling,Wines
Szekszárdi Merlot,Wines
Somló Furmint,Wines
Eger Chardonnay,Wines
Classic Martini,Classic Cocktails
Mojito,Classic Cocktails
Old Fashioned,Classic Cocktails
Negroni,Classic Cocktails
Margarita,Classic Cocktails
Margherita Pizza,Pizza
Quattro Formaggi Pizza,Pizza
Prosciutto Pizza,Pizza
Carbonara Pasta,Pasta
Bolognese Pasta,Pasta
Pesto Pasta,Pasta
Bruschetta,Appetizers
Caesar Salad,Appetizers
Caprese Salad,Appetizers
Garlic Bread,Appetizers
Truffle Fries,Sides
Grilled Vegetables,Sides
Mashed Potatoes,Sides
Coca Cola,Soft Drinks
Sprite,Soft Drinks
Mineral Water,Soft Drinks
Orange Juice,Soft Drinks
Espresso,Coffee
Cappuccino,Coffee
Latte,Coffee
